Bitlength	Time (ms)				
14	1				
15	1				
16	2				
17	1				
18	2				
19	1				
20	3				
21	3				
22	5				
23	5				
24	12				
25	10				
26	19				
27	21				
28	32				
29	17				
30	37				
31	76				
32	171				
33	51				
34	299				
35	202				
36	870				
37	478				
38	1613				
39	1107				
40	4986				
41	5662				
42	7819				
43	13177		Bitlength	Time (ms)	Time (centuries)
44	21690		512	2.23653E+76	7.09198E+63
45	17425		1024	2.501E+155	7.9307E+142
46	54223				
47	61463		Decoded message: Go Duke!		
48	169468				
					
					
